Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
24-Jul-20,178.7,"$1,902.10",93.9526,178.7072,178.74,$178.76,0.01%,15397263,39507313.87,1228.81,7.51E+10
27-Jul-20,182.23,"$1,936.65",93.94997,181.9482,182.122,$182.21,0.05%,20601767,39695213.81,1234.65,7.69E+10
28-Jul-20,183.75,"$1,940.90",93.949,182.3456,183.943,$183.77,-0.09%,20476993,39967665.91,1243.12,7.76E+10
29-Jul-20,185.13,"$1,950.90",93.9481,183.2834,185.021,$185.07,0.03%,25011405,39930086.67,1241.95,7.79E+10
30-Jul-20,183.76,"$1,957.65",93.94717,183.9157,183.714,$183.76,0.03%,17783046,39930086.67,1241.95,7.81E+10
31-Jul-20,185.43,"$1,964.90",93.94625,184.595,185.478,$185.51,0.02%,15551062,39930086.67,1241.95,7.84E+10
3-Aug-20,185.64,"$1,958.55",93.94307,183.9922,185.669,$185.67,0.00%,12307271,40136761.43,1248.38,7.86E+10
4-Aug-20,189.59,"$1,977.90",93.94235,185.8086,189.463,$189.53,0.04%,19881987,40437376.95,1257.73,8.00E+10
5-Aug-20,191.35,"$2,048.15",93.94244,192.4082,191.478,$191.35,-0.07%,26856641,40766175.49,1267.96,8.35E+10
6-Aug-20,193.89,"$2,067.15",93.94171,194.1916,193.811,$193.83,0.01%,20381573,40766175.49,1267.96,8.42E+10
7-Aug-20,190.81,"$2,031.15",93.9401,190.8064,190.774,$190.77,0.00%,23879494,40578295.29,1262.12,8.24E+10
10-Aug-20,190.15,"$2,044.50",93.93726,192.0547,190.218,$190.16,-0.03%,17115311,40578295.29,1262.12,8.29E+10
11-Aug-20,179.94,"$1,939.65",93.93421,182.1995,180.032,$179.97,-0.03%,44377216,40443694.79,1257.93,7.84E+10
12-Aug-20,179.1,"$1,931.90",93.93314,181.4694,179.337,$179.15,-0.10%,27721064,40208861.94,1250.63,7.77E+10
13-Aug-20,183.33,"$1,944.25",93.93219,182.6277,183.299,$183.36,0.03%,17913954,40255828.03,1252.09,7.83E+10
14-Aug-20,182.54,"$1,944.75",93.93117,182.6726,182.565,$182.55,-0.01%,11214250,40133717.51,1248.29,7.80E+10
17-Aug-20,186.5,"$1,972.85",93.92833,185.3065,186.448,$186.44,0.00%,14524520,40265217.18,1252.38,7.94E+10
18-Aug-20,188.18,"$2,008.75",93.92761,188.6771,188.17,$188.22,0.03%,15853088,40265217.18,1252.38,8.09E+10
19-Aug-20,182.24,"$1,981.00",93.92633,186.0681,182.32,$182.25,-0.04%,11214250,40265217.18,1252.38,7.97E+10
20-Aug-20,183.5,"$1,927.15",93.92476,181.0071,183.351,$183.43,0.04%,15352607,40265217.18,1252.38,7.76E+10
21-Aug-20,182.03,"$1,924.35",93.9237,180.7421,182.071,$182.05,-0.01%,12554837,40265217.18,1252.38,7.75E+10
24-Aug-20,181,"$1,943.95",93.92087,182.5775,180.934,$180.99,0.03%,14164726,40265217.18,1252.38,7.83E+10
25-Aug-20,181.22,"$1,911.15",93.91941,179.4941,181.119,$181.21,0.05%,14164726,40152513.88,1248.87,7.67E+10
26-Aug-20,183.36,"$1,932.95",93.91868,181.5401,183.254,$183.40,0.08%,14062021,40255824.43,1252.09,7.78E+10
27-Aug-20,181.24,"$1,923.85",93.91753,180.6832,181.266,$181.26,0.00%,14042532,40237040.93,1251.5,7.74E+10
28-Aug-20,184.39,"$1,957.35",93.91699,183.8284,184.5,$184.41,-0.05%,14092373,40237040.93,1251.5,7.87E+10
31-Aug-20,184.83,"$1,957.35",93.91391,183.8224,184.949,$184.84,-0.06%,14169932,40237040.93,1251.5,7.87E+10
1-Sep-20,185.05,"$1,972.35",93.91313,185.2296,185.061,$185.02,-0.02%,14169932,40208866.99,1250.63,7.93E+10
2-Sep-20,182.62,"$1,947.05",93.91167,182.8507,182.517,$182.60,0.05%,11536900,40190084.65,1250.04,7.82E+10
3-Sep-20,181.14,"$1,940.45",93.91053,182.2287,181.294,$181.17,-0.07%,12148100,40190084.65,1250.04,7.80E+10
4-Sep-20,181.64,"$1,926.30",93.90924,180.8974,181.719,$181.70,-0.01%,11567900,40190084.65,1250.04,7.74E+10
7-Sep-20,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
8-Sep-20,181.29,"$1,910.95",93.90482,179.4474,181.466,$181.27,-0.11%,13229200,40190084.65,1250.04,7.68E+10
9-Sep-20,183.05,"$1,947.20",93.90456,182.851,182.964,$183.00,0.02%,8424100,40283989.21,1252.96,7.84E+10
10-Sep-20,182.46,"$1,966.25",93.90393,184.6386,182.474,$182.43,-0.02%,9143600,40283989.21,1252.96,7.92E+10
11-Sep-20,182.45,"$1,947.40",93.9025,182.8657,182.387,$182.39,0.00%,7211468,40124354.96,1248,7.81E+10
14-Sep-20,183.89,"$1,958.70",93.89968,183.9213,183.874,$183.84,-0.02%,8036607,40124354.96,1248,7.86E+10
15-Sep-20,183.45,"$1,949.35",93.89843,183.0409,183.344,$183.46,0.06%,7952977,40110584.9,1247.57,7.82E+10
16-Sep-20,183.97,"$1,961.80",93.89751,184.2081,183.842,$183.91,0.04%,12282792,40110584.9,1247.57,7.87E+10
17-Sep-20,182.96,"$1,936.25",93.89626,181.8066,182.933,$182.98,0.03%,7952977,40091805.65,1246.98,7.76E+10
18-Sep-20,183.2,"$1,950.85",93.89537,183.1758,183.166,$183.17,0.00%,8918852,40504945.27,1259.83,7.90E+10
21-Sep-20,179.52,"$1,909.35",93.89185,179.2724,179.493,$179.46,-0.02%,17318048,41115242.3,1278.82,7.85E+10
22-Sep-20,178.65,"$1,906.00",93.89079,178.9558,178.604,$178.61,0.00%,7374745,41096464.14,1278.23,7.83E+10
23-Sep-20,174.79,"$1,873.40",93.88937,175.8923,174.754,$174.82,0.04%,17144213,40739684.53,1267.14,7.63E+10
24-Sep-20,175.44,"$1,861.75",93.88819,174.7963,175.515,$175.43,-0.05%,10862647,40739684.53,1267.14,7.58E+10
25-Sep-20,174.94,"$1,859.70",93.88714,174.6019,174.963,$174.93,-0.02%,6408637,40730295.82,1266.84,7.57E+10
28-Sep-20,176.7,"$1,864.30",93.88413,175.0282,176.634,$176.66,0.01%,6999677,40796014.71,1268.89,7.60E+10
29-Sep-20,178.19,"$1,883.95",93.88341,176.8716,178.092,$178.21,0.07%,8425378,40796014.71,1268.89,7.68E+10
30-Sep-20,177.12,"$1,886.90",93.88243,177.1468,177.123,$177.13,0.00%,8283285,40796014.71,1268.89,7.70E+10
1-Oct-20,178.7,"$1,902.00",93.88165,178.5629,178.793,$178.72,-0.04%,10285755,41030718.84,1276.19,7.80E+10
2-Oct-20,178.54,"$1,903.05",93.88064,178.6595,178.615,$178.52,-0.05%,7295388,41011942.71,1275.6,7.80E+10
5-Oct-20,179.41,"$1,909.60",93.87767,179.2688,179.499,$179.38,-0.07%,6646944,41011942.71,1275.6,7.83E+10
6-Oct-20,177.3,"$1,913.40",93.87671,179.6237,177.324,$177.21,-0.06%,8403772,40880515.31,1271.52,7.82E+10
7-Oct-20,177.22,"$1,884.50",93.87512,176.9077,177.161,$177.18,0.01%,6347470,40880515.31,1271.52,7.70E+10
8-Oct-20,177.85,"$1,887.45",93.87415,177.1828,177.807,$177.85,0.02%,6507753,40880515.31,1271.52,7.71E+10
9-Oct-20,181.08,"$1,923.25",93.87385,180.5429,181.045,$181.10,0.03%,12696190,40880515.31,1271.52,7.86E+10
12-Oct-20,180.56,"$1,925.50",93.87081,180.7483,180.542,$180.59,0.03%,4823388,41077644.02,1277.65,7.91E+10
13-Oct-20,177.72,"$1,891.30",93.86902,177.5345,177.769,$177.70,-0.04%,8017337,41077644.02,1277.65,7.77E+10
14-Oct-20,178.27,"$1,910.05",93.86842,179.2934,178.627,$178.25,-0.21%,8878034,41087030.86,1277.94,7.84E+10
15-Oct-20,178.92,"$1,891.90",93.86697,177.5869,178.967,$178.96,0.00%,6819489,41026645.75,1276.06,7.76E+10
16-Oct-20,178.3,"$1,905.05",93.86604,178.8195,178.242,$178.26,0.01%,8878034,40914006.51,1272.56,7.79E+10
19-Oct-20,178.39,"$1,905.60",93.86296,178.8653,178.452,$178.41,-0.02%,6028825,40923392.8,1272.85,7.80E+10
20-Oct-20,179.25,"$1,898.40",93.86186,178.1874,179.22,$179.24,0.01%,7097469,40829530.94,1269.93,7.75E+10
21-Oct-20,180.6,"$1,924.15",93.86111,180.6029,180.636,$180.64,0.00%,7246289,40810758.72,1269.35,7.85E+10
22-Oct-20,178.83,"$1,900.95",93.85982,178.4228,178.784,$178.84,0.03%,8306791,40688740.95,1265.55,7.73E+10
23-Oct-20,178.64,"$1,903.65",93.85882,178.6743,178.674,$178.68,0.00%,8306791,40632425.66,1263.8,7.73E+10
26-Oct-20,178.55,"$1,898.45",93.85567,178.1803,178.513,$178.53,0.01%,5080707,40632425.66,1263.8,7.71E+10
27-Oct-20,179.02,"$1,905.70",93.85474,178.859,179.051,$179.05,0.00%,5769947,40726280.4,1266.72,7.76E+10
28-Oct-20,176.13,"$1,869.95",93.85318,175.5008,176.181,$176.14,-0.02%,10668399,40454106.18,1258.25,7.56E+10
29-Oct-20,175.4,"$1,870.30",93.85216,175.5317,175.283,$175.43,0.08%,8389510,40454106.18,1258.25,7.56E+10
30-Oct-20,176.2,"$1,881.85",93.85132,176.6141,176.337,$176.22,-0.07%,7204073,40435335.92,1257.67,7.61E+10
2-Nov-20,177.91,"$1,889.90",93.84837,177.364,177.894,$177.90,0.00%,6444271,40379026.89,1255.92,7.63E+10
3-Nov-20,178.92,"$1,908.30",93.84768,179.0895,178.855,$178.91,0.03%,7065903,40379026.89,1255.92,7.70E+10
4-Nov-20,178.82,"$1,900.15",93.8465,178.3224,178.804,$178.80,0.00%,10972524,40266411.09,1252.42,7.65E+10
5-Nov-20,182.93,"$1,938.45",93.84619,181.9161,182.963,$182.96,0.00%,16015791,40266411.09,1252.42,7.80E+10
6-Nov-20,183.19,"$1,940.80",93.84521,182.1348,183.176,$183.22,0.02%,10221751,40519793.16,1260.3,7.86E+10
9-Nov-20,175.08,"$1,867.30",93.84056,175.2285,175.045,$175.05,0.00%,29704631,40181967.15,1249.79,7.50E+10
10-Nov-20,175.66,"$1,878.70",93.83979,176.2968,175.846,$175.71,-0.08%,11231867,40181967.15,1249.79,7.55E+10
11-Nov-20,174.9,"$1,860.95",93.83835,174.6285,174.905,$174.88,-0.01%,8959201,39891068.26,1240.74,7.42E+10
12-Nov-20,175.96,"$1,874.85",93.83766,175.9315,176.021,$175.98,-0.02%,6996354,39853533.2,1239.57,7.47E+10
13-Nov-20,177.16,"$1,890.90",93.83702,177.4364,177.15,$177.18,0.02%,6435946,39684626.56,1234.32,7.50E+10
16-Nov-20,177.15,"$1,885.60",93.83379,176.933,177.083,$177.10,0.01%,7915522,39590792.77,1231.4,7.46E+10
17-Nov-20,176.5,"$1,889.05",93.83286,177.255,176.561,$176.48,-0.05%,7925758,39426696.17,1226.3,7.45E+10
18-Nov-20,175.49,"$1,876.10",93.83171,176.0377,175.512,$175.49,-0.01%,7355990,39192116.9,1219,7.35E+10
19-Nov-20,175.16,"$1,857.35",93.83048,174.2761,175.153,$175.16,0.00%,6671978,39135818.61,1217.25,7.27E+10
20-Nov-20,175.69,"$1,875.70",93.82966,175.9963,175.752,$175.72,-0.02%,6287843,39229648.27,1220.17,7.36E+10
23-Nov-20,172.23,"$1,840.20",93.82612,172.6588,172.284,$172.25,-0.02%,15336666,39004465.58,1213.16,7.18E+10
24-Nov-20,169.59,"$1,799.60",93.82453,168.8466,169.607,$169.56,-0.03%,18773673,38572872.75,1199.74,6.94E+10
25-Nov-20,169.51,"$1,810.20",93.82366,169.8396,169.502,$169.50,0.00%,10157020,38413372.52,1194.78,6.95E+10
26-Nov-20,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
27-Nov-20,167.79,"$1,779.30",93.82111,166.9359,167.841,$167.76,-0.05%,10306399,38413372.52,1194.78,6.83E+10
30-Nov-20,166.67,"$1,762.55",93.81772,165.3584,166.662,$166.65,-0.01%,13040156,38413372.52,1194.78,6.77E+10
1-Dec-20,170.18,"$1,810.75",93.81758,169.8802,170.232,$170.21,-0.01%,13275253,38300791.43,1191.28,6.93E+10
2-Dec-20,171.46,"$1,822.60",93.81678,170.9905,171.572,$171.49,-0.05%,8848865,38300791.43,1191.28,6.98E+10
3-Dec-20,172.81,"$1,832.35",93.81593,171.9036,172.793,$172.82,0.02%,10228075,38253883.46,1189.82,7.01E+10
4-Dec-20,172.32,"$1,843.00",93.81511,172.9013,172.282,$172.29,0.00%,9996688,38024929.08,1182.7,7.01E+10
7-Dec-20,174.89,"$1,859.95",93.81208,174.4858,174.833,$174.85,0.01%,10455390,37931117,1179.78,7.05E+10
8-Dec-20,175.5,"$1,868.15",93.81109,175.2532,175.446,$175.47,0.01%,5917243,37931117,1179.78,7.09E+10
9-Dec-20,172.5,"$1,841.75",93.80994,172.7745,172.449,$172.45,0.00%,10678794,37931117,1179.78,6.99E+10
10-Dec-20,172.17,"$1,844.35",93.80893,173.0165,172.205,$172.20,0.00%,6529720,37931117,1179.78,7.00E+10
11-Dec-20,172.49,"$1,842.00",93.80789,172.7941,172.55,$172.52,-0.02%,6048539,37809166.74,1175.99,6.96E+10
14-Dec-20,171.54,"$1,831.15",93.80472,171.7705,171.55,$171.49,-0.04%,7472284,37659079.19,1171.32,6.89E+10
15-Dec-20,173.94,"$1,850.65",93.80385,173.5981,173.969,$173.96,-0.01%,6785987,37621557.65,1170.15,6.96E+10
16-Dec-20,174.9,"$1,851.95",93.80283,173.7182,174.839,$174.88,0.02%,8098678,37621557.65,1170.15,6.97E+10
17-Dec-20,176.74,"$1,890.75",93.80214,177.3564,176.704,$176.77,0.04%,8875343,37546515.94,1167.82,7.10E+10
18-Dec-20,176.44,"$1,879.75",93.80101,176.3225,176.43,$176.46,0.02%,6477113,37546515.94,1167.82,7.06E+10
21-Dec-20,175.88,"$1,880.00",93.79793,176.3401,175.979,$175.91,-0.04%,7667180,37612174.49,1169.86,7.07E+10
22-Dec-20,174.49,"$1,877.10",93.79687,176.0661,174.443,$174.61,0.10%,9166903,37537136.99,1167.53,7.04E+10
23-Dec-20,175.65,"$1,875.00",93.79582,175.8672,175.605,$175.68,0.04%,6494533,37537136.99,1167.53,7.04E+10
24-Dec-20,176.35,"$1,875.00",93.79476,175.6354,176.057,$176.33,0.15%,3429273,37537136.99,1167.53,7.03E+10
25-Dec-20,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
28-Dec-20,175.71,"$1,875.00",93.79065,175.6277,175.584,$175.72,0.08%,7730071,37612169.51,1169.86,7.04E+10
29-Dec-20,176.35,"$1,874.30",93.78965,175.7899,176.203,$176.31,0.06%,5760324,37612169.51,1169.86,7.05E+10
30-Dec-20,177.7,"$1,887.60",93.78883,177.0358,177.542,$177.66,0.07%,5557137,37612169.51,1169.86,7.10E+10
31-Dec-20,178.36,"$1,887.60",93.78786,177.3622,178.197,$178.35,0.09%,7498356,37640305.87,1170.74,7.12E+10
1-Jan-21,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
4-Jan-21,182.33,"$1,943.20",93.78467,182.2424,182.28,$182.30,0.01%,14203172,38193635.42,1187.95,7.42E+10
5-Jan-21,182.87,"$1,940.35",93.78359,181.973,182.723,$182.86,0.07%,12063956,38156121.99,1186.78,7.40E+10
6-Jan-21,179.9,"$1,931.95",93.78241,181.1829,179.983,$179.93,-0.03%,18199770,38156121.99,1186.78,7.37E+10
7-Jan-21,179.48,"$1,920.10",93.78116,180.0692,179.46,$179.48,0.01%,6999844,38006072.13,1182.11,7.29E+10
8-Jan-21,173.34,"$1,862.90",93.77897,174.7008,173.299,$173.29,-0.01%,24053613,38006072.13,1182.11,7.08E+10
11-Jan-21,173,"$1,847.25",93.77553,173.2269,173.035,$173.03,0.00%,8124463,37993155,1181.71,7.02E+10
12-Jan-21,174.12,"$1,841.25",93.77447,172.6622,174.031,$174.06,0.02%,9686089,37993155,1181.71,6.99E+10
13-Jan-21,173.37,"$1,858.85",93.77356,174.311,173.162,$173.35,0.11%,14004670,37655570.18,1171.21,7.00E+10
14-Jan-21,173.28,"$1,841.75",93.7724,172.7053,173.245,$173.23,-0.01%,13409398,37327366.78,1161,6.87E+10
15-Jan-21,171.13,"$1,839.00",93.77135,172.4455,171.231,$171.16,-0.04%,15080283,37861863.47,1177.63,6.96E+10
18-Jan-21,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
19-Jan-21,172.58,"$1,834.70",93.76721,172.0347,172.541,$172.55,0.01%,7280122,37749342.82,1174.13,6.92E+10
20-Jan-21,175.39,"$1,856.60",93.76642,174.0867,175.315,$175.37,0.03%,8827826,37749342.82,1174.13,7.01E+10
21-Jan-21,175.28,"$1,862.10",93.76545,174.6007,175.398,$175.24,-0.09%,6798879,37749342.82,1174.13,7.03E+10
22-Jan-21,173.9,"$1,852.70",93.76432,173.7171,173.83,$173.87,0.02%,6860401,37721213.53,1173.25,6.99E+10
25-Jan-21,174.05,"$1,856.85",93.76129,174.1006,174.012,$174.02,0.00%,5277406,37721213.53,1173.25,7.00E+10
26-Jan-21,173.62,"$1,856.60",93.76026,174.0753,173.55,$173.59,0.02%,4608500,37693085.45,1172.38,7.00E+10
27-Jan-21,172.52,"$1,843.00",93.75903,172.7979,172.667,$172.56,-0.06%,8794855,37589950.52,1169.17,6.93E+10
28-Jan-21,172.68,"$1,853.70",93.75817,173.7995,172.707,$172.71,0.00%,9333549,37449313.26,1164.79,6.94E+10
29-Jan-21,172.61,"$1,863.80",93.7573,174.7449,172.874,$172.65,-0.13%,10954437,37299301.58,1160.13,6.95E+10
1-Feb-21,174.23,"$1,862.95",93.7542,174.6594,174.284,$174.26,-0.01%,9071730,37214922.8,1157.5,6.93E+10
2-Feb-21,172.11,"$1,833.10",93.75263,171.8579,172.153,$172.14,-0.01%,7155880,37214922.8,1157.5,6.82E+10
3-Feb-21,171.85,"$1,835.45",93.75165,172.0765,171.917,$171.81,-0.06%,4464551,37214922.8,1157.5,6.83E+10
4-Feb-21,168.15,"$1,785.90",93.74962,167.4274,168.22,$168.13,-0.05%,13548055,37289922.5,1159.84,6.66E+10
5-Feb-21,169.81,"$1,802.95",93.74895,169.0247,169.789,$169.79,0.00%,6472258,37182898.66,1156.51,6.70E+10
8-Feb-21,171.52,"$1,835.25",93.746,172.0473,171.555,$171.50,-0.03%,6762748,37051654.26,1152.43,6.80E+10
9-Feb-21,172.08,"$1,839.60",93.74499,172.4533,172.106,$172.11,0.00%,5017729,36920411.28,1148.34,6.79E+10
10-Feb-21,172.71,"$1,842.65",93.74398,172.7373,172.653,$172.74,0.05%,6053389,36864164.89,1146.59,6.79E+10
11-Feb-21,171.21,"$1,840.10",93.74294,172.4964,171.179,$171.21,0.02%,5894769,36723550.48,1142.22,6.76E+10
12-Feb-21,170.69,"$1,816.35",93.74176,170.2678,170.732,$170.73,0.00%,5817209,36723550.48,1142.22,6.67E+10
16-Feb-21,168.24,"$1,794.25",93.73746,168.1884,168.277,$168.27,0.00%,14583911,36545449.31,1136.68,6.56E+10
17-Feb-21,166.33,"$1,780.70",93.7363,166.9162,166.424,$166.33,-0.06%,11226752,36423592.12,1132.89,6.48E+10
18-Feb-21,166.32,"$1,773.15",93.7352,166.2066,166.352,$166.32,-0.02%,7322499,36423592.12,1132.89,6.46E+10
19-Feb-21,167.01,"$1,786.20",93.73431,167.4282,167.058,$167.00,-0.03%,7984922,36254870.36,1127.64,6.47E+10
22-Feb-21,169.51,"$1,807.45",93.73149,169.415,169.56,$169.49,-0.04%,9968027,35861198.1,1115.4,6.48E+10
23-Feb-21,169.12,"$1,799.65",93.73036,168.6818,169.235,$169.14,-0.06%,8542260,35701856.49,1110.44,6.42E+10
24-Feb-21,169,"$1,788.00",93.72918,167.5878,169.003,$168.95,-0.03%,8779289,35570635.64,1106.36,6.36E+10
25-Feb-21,165.82,"$1,779.65",93.72803,166.8031,165.917,$165.84,-0.05%,16143479,35373806.77,1100.24,6.29E+10
26-Feb-21,161.81,"$1,742.85",93.72643,163.3511,162.161,$161.82,-0.21%,22521970,35158235.98,1093.53,6.13E+10
1-Mar-21,161.53,"$1,734.15",93.72319,162.5301,161.499,$161.55,0.03%,13538171,34867694.1,1084.5,6.04E+10
2-Mar-21,162.41,"$1,723.85",93.72197,161.5626,162.49,$162.40,-0.06%,11340577,34952043.87,1087.12,6.02E+10
3-Mar-21,160.62,"$1,711.40",93.7207,160.3936,160.675,$160.63,-0.03%,12926126,34799654.6,1082.38,5.96E+10
4-Mar-21,159.04,"$1,712.10",93.71968,160.4575,159.244,$159.07,-0.11%,13632257,34668447.05,1078.3,5.94E+10
5-Mar-21,159.14,"$1,696.25",93.71861,158.9702,159.223,$159.12,-0.06%,10817510,34377919.36,1069.26,5.83E+10
8-Mar-21,157.49,"$1,687.05",93.71549,158.1027,157.52,$157.46,-0.04%,11788181,34190488.38,1063.43,5.77E+10
9-Mar-21,160.84,"$1,716.90",93.71461,160.8986,160.781,$160.83,0.03%,10317898,34143631.07,1061.98,5.86E+10
10-Mar-21,161.66,"$1,716.20",93.71358,160.8312,161.712,$161.70,-0.01%,7877856,34087402.92,1060.23,5.85E+10
11-Mar-21,161.52,"$1,724.25",93.7126,161.5839,161.542,$161.51,-0.02%,6379669,33928091.5,1055.27,5.85E+10
12-Mar-21,161.49,"$1,704.80",93.71144,159.7593,161.554,$161.48,-0.05%,8508191,33825008.92,1052.07,5.77E+10
15-Mar-21,162.2,"$1,723.65",93.70852,161.5207,162.294,$162.21,-0.05%,8081278,33768783.81,1050.32,5.82E+10
16-Mar-21,162.35,"$1,735.00",93.7076,162.5827,162.258,$162.34,0.05%,7540495,33768783.81,1050.32,5.86E+10
17-Mar-21,163.51,"$1,729.65",93.70652,162.0795,163.527,$163.54,0.01%,12456007,33703189.24,1048.28,5.83E+10
18-Mar-21,162.56,"$1,725.90",93.70545,161.7262,162.71,$162.57,-0.09%,8693370,33703189.24,1048.28,5.82E+10
19-Mar-21,163.24,"$1,735.20",93.70453,162.5961,163.538,$163.29,-0.15%,6644689,33815634.68,1051.78,5.87E+10
22-Mar-21,163,"$1,736.15",93.70146,162.6798,162.942,$162.99,0.03%,4232361,33815634.68,1051.78,5.87E+10
23-Mar-21,161.81,"$1,726.20",93.7003,161.7455,161.816,$161.81,0.00%,2357662,33609494.02,1045.36,5.80E+10
24-Mar-21,162.37,"$1,730.50",93.69933,162.1467,162.503,$162.36,-0.09%,5745129,33534534.56,1043.03,5.80E+10
25-Mar-21,161.78,"$1,737.30",93.6984,162.7822,161.803,$161.80,0.00%,8246308,33534534.56,1043.03,5.82E+10
26-Mar-21,162.24,"$1,731.80",93.69729,162.265,162.326,$162.26,-0.04%,5442984,33328400.52,1036.62,5.77E+10
29-Mar-21,160.31,"$1,705.95",93.69377,159.8369,160.352,$160.33,-0.01%,7989676,33356508.65,1037.5,5.69E+10
30-Mar-21,157.57,"$1,683.95",93.69235,157.7732,157.698,$157.57,-0.08%,8035145,33356508.65,1037.5,5.62E+10
31-Mar-21,159.96,"$1,691.05",93.69145,158.4369,159.955,$159.98,0.02%,10437028,33356508.65,1037.5,5.64E+10
1-Apr-21,161.98,"$1,726.05",93.6911,161.7155,162.046,$161.99,-0.03%,10437028,33206602.89,1032.83,5.73E+10
2-Apr-21,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY,HOLIDAY
5-Apr-21,161.92,"$1,726.05",93.68699,161.7084,161.924,$161.89,-0.02%,6053558,33206602.89,1032.83,5.73E+10
6-Apr-21,163.22,"$1,744.65",93.68636,163.4499,163.209,$163.24,0.02%,6659164,33084810.62,1029.04,5.77E+10
7-Apr-21,162.76,"$1,738.05",93.68519,162.8295,162.736,$162.77,0.02%,5378669,33073407.62,1028.69,5.75E+10
8-Apr-21,164.51,"$1,755.50",93.68423,164.4627,164.453,$164.50,0.03%,6536223,32989091.81,1026.07,5.79E+10
9-Apr-21,163.27,"$1,741.20",93.68314,163.1211,163.318,$163.28,-0.02%,6583737,32989091.81,1026.07,5.74E+10
12-Apr-21,162.28,"$1,732.85",93.68001,162.3334,162.254,$162.31,0.03%,4779979,32989091.81,1026.07,5.72E+10
13-Apr-21,163.43,"$1,747.95",93.67909,163.7464,163.456,$163.44,-0.01%,6795392,32989091.81,1026.07,5.77E+10
14-Apr-21,162.72,"$1,735.55",93.67797,162.5828,162.705,$162.70,0.00%,6265622,32886046.04,1022.86,5.71E+10
15-Apr-21,165.35,"$1,757.20",93.67712,164.6094,165.349,$165.33,-0.01%,8129876,32886046.04,1022.86,5.78E+10
16-Apr-21,166.35,"$1,774.45",93.67624,166.2238,166.336,$166.36,0.01%,9390060,32783002.18,1019.66,5.82E+10
19-Apr-21,165.89,"$1,774.50",93.67316,166.223,165.867,$165.88,0.01%,5603054,32848573.39,1021.7,5.83E+10
20-Apr-21,166.48,"$1,777.85",93.67217,166.5351,166.507,$166.50,0.00%,6484609,32848573.39,1021.7,5.84E+10
21-Apr-21,168.13,"$1,798.20",93.67137,168.4399,168.089,$168.10,0.01%,8345894,32848573.39,1021.7,5.91E+10
22-Apr-21,167.04,"$1,787.75",93.67023,167.4589,167.066,$167.07,0.00%,7583139,32848573.39,1021.7,5.87E+10
23-Apr-21,166.4,"$1,781.80",93.66912,166.8996,166.375,$166.38,0.00%,7082824,32848573.39,1021.7,5.85E+10
26-Apr-21,166.84,"$1,773.35",93.66592,166.1025,166.782,$166.82,0.02%,4748702,32848573.39,1021.7,5.82E+10
27-Apr-21,166.42,"$1,784.15",93.66506,167.1125,166.377,$166.40,0.01%,5324765,32848573.39,1021.7,5.86E+10
28-Apr-21,166.91,"$1,772.20",93.66385,165.9911,166.867,$166.92,0.03%,6719635,32848573.39,1021.7,5.82E+10
29-Apr-21,166.22,"$1,762.65",93.66267,165.0945,166.158,$166.25,0.06%,9007778,32698713.12,1017.04,5.76E+10
30-Apr-21,165.66,"$1,767.65",93.66172,165.5611,165.627,$165.66,0.02%,6137169,32698713.12,1017.04,5.78E+10
3-May-21,167.81,"$1,767.65",93.65864,165.5557,167.752,$167.83,0.05%,8904180,32736176.57,1018.2,5.78E+10
4-May-21,166.58,"$1,797.75",93.65819,168.374,166.543,$166.55,0.00%,9995634,32736176.57,1018.2,5.88E+10
5-May-21,167.27,"$1,782.25",93.65686,166.9199,167.271,$167.30,0.02%,5891648,32772321.68,1019.33,5.84E+10
6-May-21,170.06,"$1,813.15",93.65592,169.8122,169.985,$170.04,0.03%,13430505,32772321.68,1019.33,5.94E+10
7-May-21,171.59,"$1,836.55",93.65497,172.002,171.571,$171.58,0.01%,14681680,32959631.62,1025.15,6.05E+10
