Date,GLD Close,LBMA Gold Price,NAV per GLD in Gold,NAV/share at 10.30 a.m. NYT,Indicative Price of GLD at 4.15 p.m. NYT,Mid point of bid/ask spread at 4.15 p.m. NYT#,Premium/Discount of GLD mid point v Indicative Value of GLD at 4.15 p.m. NYT,Daily Share Volume,Total Net Asset Value Ounces in the Trust as at 4.15 p.m. NYT,Total Net Asset Value Tonnes in the Trust as at 4.15 p.m. NYT,Total Net Asset Value in the Trust
8-Apr-15,115.47,"$1,207.25",95.95331,115.8396,115.427,$115.47,0.04%,4987173,23568583.01,733.06,2.84E+10
9-Apr-15,114.67,"$1,194.80",95.95175,114.6431,114.653,$114.69,0.03%,4706013,23664534.76,736.04,2.83E+10
10-Apr-15,115.96,"$1,207.35",95.95122,115.8467,115.957,$115.97,0.01%,3925254,23608157.09,734.29,2.85E+10
13-Apr-15,115.14,"$1,198.90",95.94793,115.032,115.118,$115.13,0.01%,3028803,23608157.09,734.29,2.83E+10
14-Apr-15,114.44,"$1,194.75",95.94681,114.6324,114.426,$114.43,0.00%,3649158,23665725.18,736.08,2.83E+10
15-Apr-15,115.43,"$1,192.90",95.94572,114.4537,115.423,$115.41,-0.01%,3648740,23665725.18,736.08,2.82E+10
16-Apr-15,115.03,"$1,204.35",95.94488,115.5512,115.009,$115.05,0.04%,3119020,23665725.18,736.08,2.85E+10
17-Apr-15,115.6,"$1,203.35",95.94381,115.454,115.555,$115.58,0.02%,3057953,23761668.99,739.06,2.86E+10
20-Apr-15,114.72,"$1,196.50",95.94051,114.7928,114.706,$114.72,0.01%,3525441,23761668.99,739.06,2.84E+10
21-Apr-15,115.38,"$1,195.30",95.93943,114.6764,115.329,$115.35,0.02%,3315124,23867202.36,742.35,2.85E+10
22-Apr-15,113.83,"$1,189.25",95.93823,114.0945,113.85,$113.84,-0.01%,5003864,23867202.36,742.35,2.84E+10
23-Apr-15,114.66,"$1,185.75",95.9371,113.7574,114.626,$114.63,0.00%,3623938,23867202.36,742.35,2.83E+10
24-Apr-15,113.05,"$1,183.00",95.93597,113.4923,113.046,$113.06,0.01%,7410028,23867202.36,742.35,2.82E+10
27-Apr-15,115.33,"$1,200.00",95.9333,115.12,115.369,$115.35,-0.02%,7466739,23761675.73,739.06,2.85E+10
28-Apr-15,116.33,"$1,209.00",95.93251,115.9824,116.27,$116.34,0.06%,7541405,23761675.73,739.06,2.87E+10
29-Apr-15,115.51,"$1,209.00",95.93146,115.9811,115.501,$115.52,0.02%,6501188,23761675.73,739.06,2.87E+10
30-Apr-15,113.47,"$1,180.25",95.92951,113.2208,113.528,$113.48,-0.04%,9434323,23771268.68,739.36,2.80E+10
1-May-15,113.08,"$1,175.95",95.92832,112.8069,113.028,$113.08,0.05%,8451389,23848011.34,741.75,2.80E+10
4-May-15,114.1,"$1,175.95",95.92517,112.8032,114.036,$114.08,0.04%,2727061,23848011.34,741.75,2.80E+10
5-May-15,114.42,"$1,197.00",95.92487,114.8221,114.458,$114.45,-0.01%,3214701,23848011.34,741.75,2.85E+10
6-May-15,114.36,"$1,194.25",95.92372,114.5569,114.351,$114.34,-0.01%,2897411,23848011.34,741.75,2.85E+10
